area,name,total,active,latitude,longitude,publishedAt
AB,Aberdeen,39074,17268,57.3,-2.30696,2023-01-22T12:21:32.696Z
AL,St Albans,11413,7799,51.7756,-0.283397,2023-01-22T12:21:32.696Z
B,Birmingham,62015,41800,52.465,-1.8885,2023-01-22T12:21:32.696Z
BA,Bath,20355,15422,51.2291,-2.4172,2023-01-22T12:21:32.696Z
BB,Blackburn,19101,13399,53.7872,-2.33441,2023-01-22T12:21:32.696Z
BD,Bradford,23631,17153,53.829,-1.8291,2023-01-22T12:21:32.696Z
BF,British Forces,48,48,36.3495,-4.67733,2023-01-22T12:21:32.696Z
BH,Bournemouth,22492,15258,50.7506,-1.89119,2023-01-22T12:21:32.696Z
BL,Bolton,14030,10347,53.5868,-2.40787,2023-01-22T12:21:32.696Z
BN,Brighton,35430,22244,50.829,-0.120042,2023-01-22T12:21:32.696Z
BR,Bromley,10671,6819,51.3944,0.0424163,2023-01-22T12:21:32.696Z
BS,Bristol,46028,27186,51.4488,-2.62246,2023-01-22T12:21:32.696Z
BT,Northern Ireland,62485,49717,54.604,-6.38079,2023-01-22T12:21:32.696Z
CA,Carlisle,16419,12782,54.7319,-3.10738,2023-01-22T12:21:32.696Z
CB,Cambridge,19406,10917,52.2069,0.189518,2023-01-22T12:21:32.696Z
CF,Cardiff,42711,23342,51.5342,-3.29401,2023-01-22T12:21:32.696Z
CH,Chester,24522,19021,53.2905,-3.02024,2023-01-22T12:21:32.696Z
CM,Chelmsford,27804,18249,51.7586,0.403487,2023-01-22T12:21:32.696Z
CO,Colchester,18339,13517,51.9026,0.924383,2023-01-22T12:21:32.696Z
CR,Croydon,14911,7993,51.356,-0.103485,2023-01-22T12:21:32.696Z
CT,Canterbury,20032,15039,51.2555,1.23168,2023-01-22T12:21:32.696Z
CV,Coventry,28703,20785,52.3668,-1.50088,2023-01-22T12:21:32.696Z
CW,Crewe,14263,9689,53.1549,-2.44974,2023-01-22T12:21:32.696Z
DA,Dartford,13124,9148,51.4423,0.221396,2023-01-22T12:21:32.696Z
DD,Dundee,11458,9077,56.5369,-2.86428,2023-01-22T12:21:32.696Z
DE,Derby,30459,17656,52.9328,-1.49227,2023-01-22T12:21:32.696Z
DG,Dumfries and Galloway,7785,6875,55.0229,-3.87864,2023-01-22T12:21:32.696Z
DH,Durham,11611,9073,54.8249,-1.61322,2023-01-22T12:21:32.696Z
DL,Darlington,16862,13395,54.5328,-1.65898,2023-01-22T12:21:32.696Z
DN,Doncaster,28209,21960,53.5411,-0.721667,2023-01-22T12:21:32.696Z
DT,Dorchester,9954,7849,50.7548,-2.48218,2023-01-22T12:21:32.696Z
DY,Dudley,14564,11025,52.4535,-2.17689,2023-01-22T12:21:32.696Z
E,East London,29100,16794,51.5433,-0.0156731,2023-01-22T12:21:32.696Z
EC,Central London,12607,3699,51.5188,-0.0967963,2023-01-22T12:21:32.696Z
EH,Edinburgh,32990,24873,55.9265,-3.2278,2023-01-22T12:21:32.696Z
EN,Enfield,13205,8560,51.6818,-0.086347,2023-01-22T12:21:32.696Z
EX,Exeter,29034,22557,50.827,-3.65717,2023-01-22T12:21:32.696Z
FK,Falkirk and Stirling,9713,7779,56.0771,-3.85958,2023-01-22T12:21:32.696Z
FY,Blackpool,10223,7381,53.8251,-3.02263,2023-01-22T12:21:32.696Z
G,Glasgow,47269,32130,55.8687,-4.26813,2023-01-22T12:21:32.696Z
GL,Gloucester,29127,21369,51.8366,-2.17746,2023-01-22T12:21:32.696Z
GU,Guildford,36185,22439,51.2314,-0.717707,2023-01-22T12:21:32.696Z
HA,Harrow,17749,10281,51.5852,-0.335982,2023-01-22T12:21:32.696Z
HD,Huddersfield,10797,7161,53.63,-1.78255,2023-01-22T12:21:32.696Z
HG,Harrogate,6394,4483,54.0372,-1.54579,2023-01-22T12:21:32.696Z
HP,Hemel Hempstead,22115,14091,51.7246,-0.69155,2023-01-22T12:21:32.696Z
HR,Hereford,8018,6487,52.0652,-2.72023,2023-01-22T12:21:32.696Z
HS,Outer Hebrides,1106,973,57.978,-6.69531,2023-01-22T12:21:32.696Z
HU,Hull,15511,11132,53.7683,-0.35437,2023-01-22T12:21:32.696Z
HX,Halifax,7475,5698,53.7204,-1.89276,2023-01-22T12:21:32.696Z
IG,Ilford,10208,6062,51.584,0.0720808,2023-01-22T12:21:32.696Z
IP,Ipswich,27318,21444,52.1955,1.0812,2023-01-22T12:21:32.696Z
IV,Inverness,10909,7474,57.5859,-4.11628,2023-01-22T12:21:32.696Z
KA,Kilmarnock,14303,11706,55.5641,-4.60674,2023-01-22T12:21:32.696Z
KT,Kingston upon Thames,22618,14268,51.3599,-0.34345,2023-01-22T12:21:32.696Z
KW,Kirkwall,2121,1855,58.6544,-3.28207,2023-01-22T12:21:32.696Z
KY,Kirkcaldy,13275,10199,56.1626,-3.21203,2023-01-22T12:21:32.696Z
L,Liverpool,43625,20608,53.4162,-2.96259,2023-01-22T12:21:32.696Z
LA,Lancaster,14843,11890,54.1711,-2.90427,2023-01-22T12:21:32.696Z
LD,Llandrindod Wells,2675,2216,52.1287,-3.34177,2023-01-22T12:21:32.696Z
LE,Leicester,35106,22887,52.6441,-1.14894,2023-01-22T12:21:32.696Z
LL,Llandudno,24496,20240,53.1336,-3.71562,2023-01-22T12:21:32.696Z
LN,Lincoln,12172,9407,53.2567,-0.357759,2023-01-22T12:21:32.696Z
LS,Leeds,32325,21862,53.8227,-1.55259,2023-01-22T12:21:32.696Z
LU,Luton,10591,6373,51.8965,-0.509811,2023-01-22T12:21:32.696Z
M,Manchester,59399,32087,53.4788,-2.2717,2023-01-22T12:21:32.696Z
ME,Rochester,22715,16800,51.3335,0.584719,2023-01-22T12:21:32.696Z
MK,Milton Keynes,23226,15840,52.0622,-0.66604,2023-01-22T12:21:32.696Z
ML,Motherwell,11898,9765,55.7765,-3.94418,2023-01-22T12:21:32.696Z
N,North London,29874,17560,51.5854,-0.114174,2023-01-22T12:21:32.696Z
NE,Newcastle upon Tyne,45702,33504,55.0366,-1.64209,2023-01-22T12:21:32.696Z
NG,Nottingham,37876,29261,53.0055,-1.07184,2023-01-22T12:21:32.696Z
NN,Northampton,25464,16670,52.2889,-0.840549,2023-01-22T12:21:32.696Z
NP,Newport,28235,13840,51.6728,-3.01553,2023-01-22T12:21:32.696Z
NR,Norwich,28659,23820,52.6458,1.33986,2023-01-22T12:21:32.696Z
NW,North West London,26055,14120,51.555,-0.19711,2023-01-22T12:21:32.696Z
OL,Oldham,17830,13129,53.5816,-2.12593,2023-01-22T12:21:32.696Z
OX,Oxford,35513,20209,51.7953,-1.29091,2023-01-22T12:21:32.696Z
PA,Paisley,13088,9467,56.0684,-4.90826,2023-01-22T12:21:32.696Z
PE,Peterborough,39586,27089,52.6267,-0.0453933,2023-01-22T12:21:32.696Z
PH,Perth,7497,6158,56.5626,-3.73366,2023-01-22T12:21:32.696Z
PL,Plymouth,22883,17806,50.4278,-4.32768,2023-01-22T12:21:32.696Z
PO,Portsmouth,33283,24283,50.8022,-1.03432,2023-01-22T12:21:32.696Z
PR,Preston,20368,13404,53.723,-2.75215,2023-01-22T12:21:32.696Z
RG,Reading,46149,23548,51.4046,-1.02707,2023-01-22T12:21:32.696Z
RH,Redhill,24600,16215,51.1102,-0.208131,2023-01-22T12:21:32.696Z
RM,Romford,15480,9978,51.5468,0.217242,2023-01-22T12:21:32.696Z
S,Sheffield,49864,33995,53.3936,-1.41173,2023-01-22T12:21:32.696Z
SA,Swansea,29494,23288,51.7606,-4.20656,2023-01-22T12:21:32.696Z
SE,South East London,35011,20775,51.4669,-0.0356875,2023-01-22T12:21:32.696Z
SG,Stevenage,17190,12034,51.9471,-0.159228,2023-01-22T12:21:32.696Z
SK,Stockport,25305,16593,53.3712,-2.09835,2023-01-22T12:21:32.696Z
SL,Slough,16794,10639,51.5152,-0.642142,2023-01-22T12:21:32.696Z
SM,Sutton,6740,4348,51.3628,-0.184435,2023-01-22T12:21:32.696Z
SN,Swindon,21728,14572,51.5059,-1.89382,2023-01-22T12:21:32.696Z
SO,Southampton,40463,18498,50.9299,-1.39158,2023-01-22T12:21:32.696Z
SP,Salisbury,11488,8666,51.1088,-1.77939,2023-01-22T12:21:32.696Z
SR,Sunderland,8872,6714,54.8766,-1.38957,2023-01-22T12:21:32.696Z
SS,Southend-on-Sea,17478,11943,51.5623,0.599466,2023-01-22T12:21:32.696Z
ST,Stoke-on-Trent,22831,17769,52.9773,-2.14619,2023-01-22T12:21:32.696Z
SW,South West London,36975,20026,51.464,-0.16749,2023-01-22T12:21:32.696Z
SY,Shrewsbury,17393,14543,52.6644,-3.04691,2023-01-22T12:21:32.696Z
TA,Taunton,14992,11941,51.0556,-3.06612,2023-01-22T12:21:32.696Z
TD,Galashiels,5287,4518,55.6151,-2.52392,2023-01-22T12:21:32.696Z
TF,Telford,9394,7110,52.7129,-2.46193,2023-01-22T12:21:32.696Z
TN,Tonbridge,33096,22958,51.0852,0.442338,2023-01-22T12:21:32.696Z
TQ,Torquay,13310,10046,50.459,-3.61618,2023-01-22T12:21:32.696Z
TR,Truro,15666,12373,50.2121,-5.24186,2023-01-22T12:21:32.696Z
TS,Cleveland,23142,17679,54.5849,-1.22405,2023-01-22T12:21:32.696Z
TW,Twickenham,20354,11066,51.4487,-0.389991,2023-01-22T12:21:32.696Z
UB,Southall,11689,7187,51.5276,-0.416903,2023-01-22T12:21:32.696Z
W,West London,40305,18609,51.5114,-0.193394,2023-01-22T12:21:32.696Z
WA,Warrington,25897,18254,53.3905,-2.59119,2023-01-22T12:21:32.696Z
WC,Central London,7473,2596,51.5176,-0.122526,2023-01-22T12:21:32.696Z
WD,Watford,16072,7400,51.6586,-0.393596,2023-01-22T12:21:32.696Z
WF,Wakefield,18540,14602,53.6855,-1.49579,2023-01-22T12:21:32.696Z
WN,Wigan,9288,7221,53.5344,-2.63728,2023-01-22T12:21:32.696Z
WR,Worcester,12737,8913,52.1632,-2.169,2023-01-22T12:21:32.696Z
WS,Walsall,15041,10231,52.6496,-1.95688,2023-01-22T12:21:32.696Z
WV,Wolverhampton,14362,10545,52.5809,-2.1621,2023-01-22T12:21:32.696Z
YO,York,34771,18982,54.0451,-0.886735,2023-01-22T12:21:32.696Z
ZE,Lerwick,752,651,60.2194,-1.19861,2023-01-22T12:21:32.696Z